iter	Passed	Remaining
0	169	169232
1	177	88428
2	185	61492
3	192	47904
4	199	39767
5	208	34483
6	217	30819
7	225	27931
8	234	25839
9	242	24056
10	251	22635
11	260	21439
12	269	20466
13	277	19518
14	286	18794
15	293	18076
16	303	17521
17	310	16945
18	319	16517
19	327	16061
20	336	15687
21	343	15258
22	352	14966
23	359	14629
24	367	14339
25	373	14005
26	381	13743
27	388	13474
28	394	13207
29	403	13031
30	412	12880
31	419	12689
32	426	12491
33	434	12341
34	440	12153
35	448	12012
36	455	11849
37	463	11731
38	469	11572
39	477	11456
40	483	11319
41	490	11192
42	497	11077
43	504	10954
44	511	10860
45	517	10740
46	525	10657
47	533	10571
48	541	10509
49	549	10433
50	555	10334
51	563	10265
52	569	10173
53	576	10105
54	582	10015
55	590	9961
56	619	10246
57	634	10307
58	645	10301
59	653	10239
60	663	10219
61	670	10147
62	679	10101
63	686	10042
64	696	10014
65	703	9954
66	712	9927
67	719	9858
68	727	9819
69	734	9754
70	741	9707
71	749	9654
72	756	9610
73	763	9555
74	771	9519
75	780	9483
76	788	9450
77	797	9421
78	806	9400
79	814	9361
80	822	9328
81	829	9290
82	837	9257
83	846	9229
84	854	9201
85	862	9171
86	869	9120
87	877	9093
88	883	9044
89	891	9017
90	897	8967
91	905	8940
92	912	8897
93	922	8893
94	931	8874
95	943	8888
96	953	8879
97	962	8858
98	971	8844
99	979	8818
100	989	8809
101	997	8777
102	1007	8770
103	1014	8742
104	1023	8726
105	1031	8702
106	1040	8683
107	1048	8658
108	1058	8651
109	1067	8638
110	1077	8626
111	1088	8627
112	1097	8614
113	1108	8611
114	1117	8602
115	1126	8585
116	1133	8554
117	1140	8527
118	1146	8491
119	1155	8473
120	1161	8438
121	1169	8413
122	1177	8395
123	1184	8371
124	1191	8338
125	1197	8307
126	1204	8280
127	1210	8249
128	1218	8223
129	1224	8193
130	1232	8176
131	1239	8150
132	1246	8124
133	1254	8105
134	1261	8079
135	1268	8061
136	1275	8033
137	1283	8015
138	1289	7987
139	1296	7963
140	1303	7943
141	1309	7915
142	1317	7896
143	1323	7869
144	1330	7847
145	1337	7821
146	1343	7795
147	1350	7774
148	1356	7749
149	1364	7730
150	1370	7704
151	1376	7679
152	1385	7667
153	1391	7643
154	1398	7626
155	1405	7601
156	1412	7582
157	1418	7559
158	1424	7534
159	1435	7534
160	1444	7527
161	1452	7514
162	1462	7509
